date,home,away,hscore,ascore
2021/07/13,読　売,東京ヤクルト,6,14
2021/07/13,阪　神,横浜DeNA,2,8
2021/07/13,広島東洋,中　日,8,3
2021/07/13,北海道日本ハム,オリックス,0,5
2021/07/13,埼玉西武,千葉ロッテ,6,7
2021/07/13,福岡ソフトバンク,東北楽天,2,6
2021/07/14,読　売,東京ヤクルト,7,11
2021/07/14,阪　神,横浜DeNA,3,4
2021/07/14,広島東洋,中　日,2,0
2021/07/14,北海道日本ハム,オリックス,6,2
2021/07/14,埼玉西武,千葉ロッテ,8,3
2021/07/14,福岡ソフトバンク,東北楽天,2,4
2021/07/16,パシフィック,セントラル,4,5
2021/07/17,パシフィック,セントラル,4,3
2021/08/13,読　売,中　日,4,2
2021/08/13,阪　神,広島東洋,3,9
2021/08/13,埼玉西武,東北楽天,0,5
2021/08/13,千葉ロッテ,オリックス,3,6
2021/08/13,福岡ソフトバンク,北海道日本ハム,3,0
2021/08/14,読　売,中　日,6,1
2021/08/14,横浜DeNA,東京ヤクルト,,
2021/08/14,阪　神,広島東洋,9,3
2021/08/14,埼玉西武,東北楽天,6,7
2021/08/14,千葉ロッテ,オリックス,4,2
2021/08/14,福岡ソフトバンク,北海道日本ハム,2,0
2021/08/15,読　売,中　日,4,2
2021/08/15,横浜DeNA,東京ヤクルト,1,4
2021/08/15,阪　神,広島東洋,3,0
2021/08/15,埼玉西武,東北楽天,10,2
2021/08/15,千葉ロッテ,オリックス,3,5
2021/08/15,福岡ソフトバンク,北海道日本ハム,0,0
2021/08/17,東京ヤクルト,読　売,13,3
2021/08/17,横浜DeNA,阪　神,2,6
2021/08/17,中　日,広島東洋,3,0
2021/08/17,東北楽天,福岡ソフトバンク,,
2021/08/17,千葉ロッテ,埼玉西武,2,8
2021/08/17,オリックス,北海道日本ハム,,
2021/08/18,東京ヤクルト,読　売,2,3
2021/08/18,横浜DeNA,阪　神,2,5
2021/08/18,中　日,広島東洋,3,0
2021/08/18,東北楽天,福岡ソフトバンク,0,3
2021/08/18,千葉ロッテ,埼玉西武,5,3
2021/08/18,オリックス,北海道日本ハム,5,2
2021/08/19,横浜DeNA,阪　神,5,4
2021/08/19,中　日,広島東洋,1,3
2021/08/19,千葉ロッテ,埼玉西武,3,3
2021/08/19,オリックス,北海道日本ハム,,
2021/08/20,読　売,横浜DeNA,1,6
